pos x,pos y,Barrio
-58.52933723,-34.61098186,
-58.37910943,-34.62764718,Constitución
-58.52161176,-34.61164474,Villa Devoto
-58.41354692,-34.58697680,Palermo
-58.43960781,-34.65470804,Villa Soldati
-58.40454610,-34.60003693,Balvanera
-58.39303911,-34.59871111,Recoleta
-58.39391034,-34.58405348,Recoleta
-58.50073810,-34.54979510,Saavedra
-58.38281301,-34.62786038,Constitución
-58.43980799,-34.65094083,Flores
-58.44402387,-34.62933109,Caballito
-58.42779702,-34.62207347,Caballito
-58.40944147,-34.60097942,Balvanera
-58.38277479,-34.59430160,Retiro
-58.37627355,-34.63800916,Barracas
-58.39591856,-34.62453459,San Cristóbal
-58.45829717,-34.56015762,Belgrano
-58.49142611,-34.64584795,Parque Avellaneda
-58.51271409,-34.57786555,Villa Pueyrredón
-58.44864864,-34.62352826,Caballito
-58.37795815,-34.59167894,Retiro
-58.45531707,-34.55555257,Belgrano
-58.47633683,-34.62140594,Flores
-58.38188582,-34.60256036,San Nicolás
-58.51989389,-34.62284918,Monte Castro
-58.40596860,-34.61011987,Balvanera
-58.43353773,-34.64561636,Nueva Pompeya
-58.46739825,-34.65117757,Parque Avellaneda
-58.47293407,-34.61984745,Flores
-58.47066794,-34.65021673,Parque Avellaneda
-58.37976155,-34.58679619,Retiro
